Notebook,Time,Model,Num Rows,ROUGE-1,BLEURT,BERTScore F1
20231204_Step_89_Back2BioBart_Tr_05_v2.00,2023-12-05 02:16:48,20231130_BioBart-Base_10ep_Summ_Loss_0.77,20.0,0.4201830336274428,0.5355459496378898,0.7224473655223846
20231204_Step_89_Back2BioBart_Tr_04_v2.00,2023-12-05 02:09:54,20231130_BioBart-Base_10ep_Summ_Loss_0.77,,0.4233235782981186,0.5342162483930587,0.720250940322876
20231204_Step_89_Back2BioBart_Tr_04_v2.00,2023-12-05 02:04:28,20231130_BioBart-Base_10ep_Summ_Loss_0.77,,0.4233235782981186,0.5342162483930587,0.720250940322876
20231204_Step_89_Back2BioBart_Tr_01,2023-12-05 01:53:15,20231130_BioBart-Base_10ep_Summ_Loss_0.77,,0.4201830336274428,0.5355459496378898,0.7224473655223846
20231204_Step_89_Back2BioBart_Tr_01,2023-12-05 01:53:15,20231130_BioBart-Base_10ep_Summ_Loss_0.77,,0.4201830336274428,0.5355459496378898,0.7224473655223846
20231204_Step_89_Back2BioBart_Tr_01,2023-12-05 01:53:15,20231130_BioBart-Base_10ep_Summ_Loss_0.77,,0.4201830336274428,0.5355459496378898,0.7224473655223846
20231204_Step_89_Back2BioBart_Tr_01,2023-12-05 01:45:35,20231130_BioBart-Base_10ep_Summ_Loss_0.77,,0.404477066888337,0.5144549084454775,0.7042699962854385
20231204_Step_89_Back2BioBart_Tr_01,2023-12-05 01:36:36,20231130_BioBart-Base_10ep_Summ_Loss_0.77,,0.404477066888337,0.5144549084454775,0.7042699962854385
20231204_Step_89_Back2BioBart_Tr_01,2023-12-05 01:26:31,20231130_BioBart-Base_10ep_Summ_Loss_0.77,,0.404477066888337,0.5144549084454775,0.7042699962854385
20231204_Step_89_Back2BioBart_Tr_01,2023-12-05 00:57:52,20231130_BioBart-Base_10ep_Summ_Loss_0.77,,0.4044770668883369,0.5144549084454775,0.7042699933052063
,2023-12-05 00:06:19,20231130_BioBart-Base_10ep_Summ_Loss_0.77,,0.404477066888337,0.5144549084454775,0.7042699962854385
